ID,identifier,companyname,countryofexchange,gicsindustryname,year,fv,esg,size,lev,lctat,lctlt,chlct,ch,cf,cheat,inventory,fixed,growth,ni,boardmeetings,female,ceo,g_score,e_score,gdpgrowth,gdppercapita,inf,climateriskscore,n_years
504,PIEN.KL,PIE Industrial Bhd,Malaysia,Electrical Equipment,2024,1.581019,33.56,8.281885,0.0661488,0.2231242,0.868001,0.5106496,0.004678,1.18E+07,0.1325796,0.249459,0.3226973,-17.65413,11675962,6,28.57,0,39.42,19.25,5.114155,4.07435,0.7825099,1.675054,3
505,PLSB.KL,PLS Plantations Bhd,Malaysia,Food Products,2022,0.326578,31.26,8.073528,0.189219,0.107394,0.2259368,0,0.0818538,860190.6,0.0853988,0.0507184,0.6502638,28.53598,7935088.5,5,11.11,0,21,32.59,8.861822,4.069967,6.403485,1.895296,3
505,PLSB.KL,PLS Plantations Bhd,Malaysia,Food Products,2023,0.3413678,29.74,8.047455,0.1757062,0.1152003,0.2512037,0,0.0309688,-5547053,0.0380321,0.0517812,0.6716811,-39.30383,-8253161.8,6,12.5,TRUE,7.91,30.33,3.555487,4.056108,-1.872256,2.352432,3
505,PLSB.KL,PLS Plantations Bhd,Malaysia,Food Products,2024,0.3404055,38.34,8.024207,0.1788569,0.1352384,0.2933128,0,0.0134576,-3036267,0.0221375,0.0216698,0.6979682,-3.897806,-4545917.3,8,11.11,TRUE,29.03,44.82,5.114155,4.07435,0.7825099,2.510294,3
506,PMAS.KL,Pentamaster Corporation Bhd,Malaysia,Machinery,2022,2.381166,33.75,8.42032,0,0.2259311,0.4924262,0.4632816,0,-1.30E+07,0.4051124,0.14759,0.1467909,11.79897,29668259,4,20,0,52.2,22.55,8.861822,4.069967,6.403485,2.717041,3
506,PMAS.KL,Pentamaster Corporation Bhd,Malaysia,Machinery,2023,2.18417,28.3,8.458066,0,0.2297952,0.4896836,0.4318989,0,1.52E+07,0.4064294,0.144631,0.2140067,10.4422,30604266,4,33.33,0,40.54,19.66,3.555487,4.056108,-1.872256,1.993076,3
506,PMAS.KL,Pentamaster Corporation Bhd,Malaysia,Machinery,2024,2.06173,46.43,8.480773,0,0.1903776,0.4262621,0.9566185,0,-9447558,0.3498877,0.0901046,0.3383348,-7.501784,23250501,5,33.33,0,56.94,52.82,5.114155,4.07435,0.7825099,1.549301,3
507,PMBT.KL,PMB Technology Bhd,Malaysia,Metals & Mining,2022,1.397021,31.54,8.591106,0.3238898,0.3208784,0.6809018,0,0.0745715,367045.4,0.083101,0.1575386,0.5586459,22.60834,25080682,4,14.29,TRUE,39.38,42.47,8.861822,4.069967,6.403485,1.720869,3
507,PMBT.KL,PMB Technology Bhd,Malaysia,Metals & Mining,2023,1.171024,34.55,8.66321,0.4158576,0.3636292,0.662959,0,0.046399,1394336,0.0547789,0.179013,0.6301667,-19.81988,9749891.1,4,28.57,TRUE,49.59,37.64,3.555487,4.056108,-1.872256,1.466325,3
507,PMBT.KL,PMB Technology Bhd,Malaysia,Metals & Mining,2024,0.9835303,37.22,8.735354,0.3296177,0.3115465,0.72182,0,0.0400503,1378245,0.0472878,0.2145735,0.6282408,-6.325091,12994405,6,37.5,TRUE,37.69,34.57,5.114155,4.07435,0.7825099,1.406028,3
508,PMET.KL,Press Metal Aluminium Holdings Bhd,Malaysia,Metals & Mining,2022,3.236743,75.67,9.5417,0.3325424,0.2052761,0.3622515,0.1004511,0,3287727,0.040223,0.1824261,0.501843,34.9836,4.02E+08,6,30,TRUE,78.08,79.18,8.861822,4.069967,6.403485,1.304407,3
508,PMET.KL,Press Metal Aluminium Holdings Bhd,Malaysia,Metals & Mining,2023,3.288209,80.45,9.524761,0.3011656,0.1794564,0.3269846,0.3546388,0,1.50E+08,0.0768578,0.1670145,0.5009214,-15.61997,3.31E+08,7,30,TRUE,85.84,76.85,3.555487,4.056108,-1.872256,1.550788,3
508,PMET.KL,Press Metal Aluminium Holdings Bhd,Malaysia,Metals & Mining,2024,2.998883,80.28,9.570889,0.2455423,0.200089,0.4079814,0.428051,0,6.47E+07,0.1008654,0.1575815,0.4505253,10.95228,4.76E+08,6,30,TRUE,83.45,76.72,5.114155,4.07435,0.7825099,1.686939,3
509,PNTE.KL,Pantech Group Holdings Bhd,Malaysia,Metals & Mining,2022,0.5650755,35.06,8.407431,0.2032569,0.2324155,0.819977,0.6656241,0,-279627.7,0.1440108,0.353781,0.3000658,29.20704,25782174,5,33.33,0,70.15,15.39,8.861822,4.069967,6.403485,1,3
509,PNTE.KL,Pantech Group Holdings Bhd,Malaysia,Metals & Mining,2023,0.5462769,39.44,8.421196,0.2025414,0.2489391,0.8522345,0.8179384,0,1.73E+07,0.2162055,0.3311746,0.2790472,-13.73156,22257704,5,33.33,0,68.33,14.19,3.555487,4.056108,-1.872256,1.414161,3
509,PNTE.KL,Pantech Group Holdings Bhd,Malaysia,Metals & Mining,2024,0.4246524,49.43,8.527506,0.1514902,0.172934,0.5313036,1.012467,0,1257718,0.2274727,0.2694921,0.2989701,6.40909,18499511,5,33.33,0,75.31,32.07,5.114155,4.07435,0.7825099,1.40985,3
510,POHK.KL,Poh Kong Holdings Bhd,Malaysia,"Textiles, Apparel & Luxury Goods",2022,0.4966096,16.55,8.297696,0.1554697,0.1635727,0.7358118,0.1312918,0,3314874,0.0404291,0.7293919,0.1684169,43.07946,20726468,5,50,0,20.72,6.29,8.861822,4.069967,6.403485,1.396982,3
510,POHK.KL,Poh Kong Holdings Bhd,Malaysia,"Textiles, Apparel & Luxury Goods",2023,0.4383829,18.24,8.346608,0.1767617,0.1897702,0.7942278,0.0759898,0,-1391547,0.0315604,0.754288,0.1574313,6.510247,17404213,6,50,0,19.43,8.79,3.555487,4.056108,-1.872256,1.396982,3
510,POHK.KL,Poh Kong Holdings Bhd,Malaysia,"Textiles, Apparel & Luxury Goods",2024,0.4172757,17.39,8.376638,0.141828,0.1651859,0.8161964,0.151303,0,1542184,0.0346491,0.7731953,0.1414697,9.582452,25462522,6,62.5,0,19.5,8.74,5.114155,4.07435,0.7825099,1.704903,3
512,PRKN.KL,Parkson Holdings Bhd,Malaysia,Broadline Retail,2022,0.0325665,35.32,9.303957,0.5175819,0.2866213,0.3421788,0.508088,0,1.01E+08,0.1347194,0.0436628,0.4515129,-42.76499,-42005000,4,33.33,0,74.53,10.79,8.861822,4.069967,6.403485,1.583769,3
512,PRKN.KL,Parkson Holdings Bhd,Malaysia,Broadline Retail,2023,0.0352265,43.21,9.268929,0.49408,0.2942281,0.3537888,0.5888914,0,3.94E+07,0.1638631,0.0419123,0.4343309,2.666479,9541612.2,4,33.33,0,81.81,12.7,3.555487,4.056108,-1.872256,1.872767,3
512,PRKN.KL,Parkson Holdings Bhd,Malaysia,Broadline Retail,2024,0.0344158,50.01,9.269898,0.5380541,0.2687528,0.3176719,0.6168905,0,-2.07E+07,0.1710874,0.0401516,0.4575355,-7.696705,-28465980,4,16.67,0,73.93,36.48,5.114155,4.07435,0.7825099,1.938852,3
