"",Identifier,Company Name,Country of Exchange,GICS Industry Name,year,FV,ESG,SIZE,LEV,lctat,lctlt,chlct,CH,CF,cheat,Inventory,Fixed,Growth,NI,BoardMeetings,Female,CEO,G_score,E_score,GDPgrowth,GDPpercapita,INF,ClimateRiskScore
415,ENOB.KL,Eastern & Oriental Bhd,Malaysia,Real Estate Management & Development,2023,0.582631517,60.65,8.932522859,0.372621798,0.108714327,0.232455918,0.757295978,0.0,-38676760.19,0.091557111,0.114452758,0.055923236,24.13941862,29880995.24,5,16.67,0,55.22,63.19,3.555487154,4.056107349,-1.872255625,1.0
415,ENOB.KL,Eastern & Oriental Bhd,Malaysia,Real Estate Management & Development,2022,0.570794058,64.37,8.95009837,0.395605329,0.149715095,0.308485748,0.783305809,0.0,94141043.08,0.160017235,0.101159233,0.061487439,115.7642806,11740136.05,6,16.67,0,67.21,50.77,8.861821876,4.069967336,6.403485118,1.405016582188913
416,EPMB.KL,EP Manufacturing Bhd,Malaysia,Automobile Components,2024,0.178147572,25.46,8.166910487,0.24805351,0.388161193,0.869015166,0.0,0.137548939,8163607.88,0.155323775,0.078021156,0.389476379,-6.023751839,3896374.22,7,14.29,FALSE,57.12,11.65,5.114155478,4.074350408,0.782509892,1.377110598167122
416,EPMB.KL,EP Manufacturing Bhd,Malaysia,Automobile Components,2023,0.186867283,20.0,8.128898118,0.316665182,0.427739413,0.846106789,0.0,0.087381093,-1491503.27,0.089115458,0.10311445,0.357390241,20.6990927,4405446.62,7,12.5,FALSE,49.89,4.46,3.555487154,4.056107349,-1.872255625,1.826725625487894
416,EPMB.KL,EP Manufacturing Bhd,Malaysia,Automobile Components,2022,0.181069582,20.27,8.14351442,0.298833586,0.475544827,0.886518841,0.0,0.09972824,5218636.36,0.113414906,0.066561708,0.345258238,41.55564425,90681.82,5,11.11,FALSE,52.94,5.56,8.861821876,4.069967336,6.403485118,1.674669872147481
417,ESCM.KL,ES Ceramics Technology Bhd,Malaysia,Building Products,2024,0.19797189,23.73,7.905915281,0.101179511,0.323541561,0.761876514,0.0,0.223499904,-2003388.2,0.263001663,0.030766835,0.298069086,42.07780567,1514808.37,4,20.0,TRUE,34.43,13.06,5.114155478,4.074350408,0.782509892,1.0
417,ESCM.KL,ES Ceramics Technology Bhd,Malaysia,Building Products,2023,0.232961784,30.78,7.835234127,0.099744375,0.32635345,0.768627098,0.0,0.264103927,9188358.84,0.279384448,0.027698605,0.311405154,33.19566656,125977.89,5,20.0,TRUE,65.99,10.91,3.555487154,4.056107349,-1.872255625,1.0
417,ESCM.KL,ES Ceramics Technology Bhd,Malaysia,Building Products,2022,0.246398026,30.33,7.811810118,0.096752263,0.35983417,0.779703081,0.0,0.170338514,-4187357.47,0.316728151,0.032578544,0.353166283,122.0935899,4945629.74,5,0.0,0,65.46,7.0,8.861821876,4.069967336,6.403485118,1.0
418,ETEX.KL,Engtex Group Bhd,Malaysia,Trading Companies & Distributors,2024,0.306305658,41.67,8.545582571,0.37365311,0.42236706,0.887720539,0.208180385,0.0,10987690.24,0.088544636,0.304115371,0.299901928,2.138930219,2280886.3,5,37.5,0,37.88,38.11,5.114155478,4.074350408,0.782509892,1.4140646623328763
418,ETEX.KL,Engtex Group Bhd,Malaysia,Trading Companies & Distributors,2023,0.29762901,40.82,8.542550163,0.404821053,0.457054335,0.920480006,0.050844886,0.0,-10060566.45,0.047928062,0.338832965,0.289729807,-2.423541755,2220043.57,5,37.5,0,37.84,35.27,3.555487154,4.056107349,-1.872255625,1.0
418,ETEX.KL,Engtex Group Bhd,Malaysia,Trading Companies & Distributors,2022,0.304152029,43.05,8.541888574,0.383668637,0.43936824,0.91419167,0.090410804,0.0,455454.55,0.085829565,0.334101029,0.286371845,15.96122573,7800909.09,5,28.57,0,48.62,39.69,8.861821876,4.069967336,6.403485118,1.2704335208780608
419,EVGN.KL,Evergreen Fibreboard Bhd,Malaysia,Paper & Forest Products,2024,0.109625442,44.01,8.506020122,0.187923859,0.21660257,0.696476499,0.37427405,0.016100584,-11654691.14,0.101094712,0.149608498,0.672711604,11.70869621,456376.45,5,37.5,TRUE,67.95,26.23,5.114155478,4.074350408,0.782509892,1.5659423633189018
419,EVGN.KL,Evergreen Fibreboard Bhd,Malaysia,Paper & Forest Products,2023,0.113951848,40.85,8.501444561,0.164747529,0.226763782,0.717609179,0.53329378,0.013476668,16466869.28,0.148467324,0.128840367,0.636017144,-23.4041326,-8120971.68,5,33.33,TRUE,53.73,26.94,3.555487154,4.056107349,-1.872255625,1.7323468408833675
419,EVGN.KL,Evergreen Fibreboard Bhd,Malaysia,Paper & Forest Products,2022,0.121356323,27.42,8.475032058,0.114228059,0.176359691,0.768293664,0.391489277,0.019029466,5506109.09,0.080111385,0.165938011,0.669314647,11.60313097,-5927906.82,5,37.5,TRUE,55.27,9.15,8.861821876,4.069967336,6.403485118,1.4072338962368458
