path_to_file,year,company_name,Identifier,ClimateRiskScore,Index,Identifier,Company Name,Country of Exchange,GICS Industry Name,Year,FV,ESG,SIZE,LEV,lctat,lctlt,chlct,CH,CF,cheat,Inventory,Fixed,Growth,NI,BoardMeetings,Female,CEO,G_score,E_score,GDPgrowth,GDPpercapita,INF
Dương/105. SHEF/SHEF 2022,2022,Sheela Foam Ltd,SHEF.NS,1.6307207757920874,315.0,SHEF.NS,Sheela Foam Ltd,India,Household Durables,2022.0,2.6460372,35.1696401,8.5184369,0.2107006,0.252084,0.6154038,0.0616660,4.84e-05,177422.1032132,0.2937976,0.129139,0.3043657,-10.9787365,24715457.6436222,6.0,20.0,1,68.4498638,12.473363,7.609365,3.370596,5.8971419
Dương/104. LTEH/LTEH 2024,2024,L&T Technology Services Ltd,LTEH.NS,1.9034148716673944,234.0,LTEH.NS,L&T Technology Services Ltd,India,Professional Services,2024.0,4.6357433,62.3331973,9.0525226,0.0598953,0.3100534,0.8390627,0.3264883,0.0421942,29666471.6208309,0.2692830,0.009426,0.09397,7.8838019,147864248.098303,6.0,18.1818182,1,37.5851996,63.5591383,6.4842236,3.4308268,3.2018101
Dương/11. FRT/FRT 2018,2018,FPT Digital Retail JSC,FRT.HM,1.0,658.0,FRT.HM,FPT Digital Retail JSC,Vietnam,Specialty Retail,2018.0,4.0144709,0.0,8.347994,0.570329,0.775766,0.9938065,0.2133697,0.0179965,13380866.7153946,0.2408517,0.4849805,0.0009974,13.9091532,14995563.6916774,0.0,0.0,0,0.0,0.0,7.4650069,3.5081673,3.6266473
Dương/105. SHEF/SHEF 2023,2023,Sheela Foam Ltd,SHEF.NS,1.4622811137798402,315.0,SHEF.NS,Sheela Foam Ltd,India,Household Durables,2023.0,1.3762967,42.3555605,8.8065982,0.2796327,0.2114208,0.4666088,0.0388966,2.06e-05,209958.0083983,0.0240685,0.0666874,0.2904033,2.3112709,22067186.5626875,7.0,22.2222222,1,88.1955023,23.9902353,9.1907549,3.4031412,2.5919495
Dương/107. LTIM/LTIM 2019,2019,LTIMindtree Ltd,LTIM.NS,1.95524004671376,235.0,LTIM.NS,LTIMindtree Ltd,India,IT Services,2019.0,14.8571237,0.0,9.0687245,0.1033326,0.2641616,0.6814581,0.1664379,0.0,14628383.3114306,0.3614935,0.0,0.1371687,5.7619762,201837176.270691,0.0,0.0,0,0.0,0.0,3.8714369,3.3099342,2.4055172
Dương/107. LTIM/LTIM 2020,2020,LTIMindtree Ltd,LTIM.NS,2.159123253764452,235.0,LTIM.NS,LTIMindtree Ltd,India,IT Services,2020.0,12.0536575,52.6549147,9.1656158,0.0745441,0.2458003,0.7729101,0.2296471,0.0,32022095.5193678,0.5029501,0.0,0.09787,17.1218140,265009502.714085,4.0,0.0,1,24.1158647,47.9784732,-5.7777247,3.2803604,4.8148579
Dương/107. LTIM/LTIM 2021,2021,LTIMindtree Ltd,LTIM.NS,1.8818394475389657,235.0,LTIM.NS,LTIMindtree Ltd,India,IT Services,2021.0,6.5568113,53.4797982,9.4332462,0.0675869,0.2474104,0.8089179,0.2724113,0.0,-9604565.9236852,0.6478747,0.0001992,0.1209577,103.3807880,520412008.210652,5.0,9.0909091,1,27.2661269,47.4078376,9.6895925,3.3501731,8.3549077
Dương/11. FRT/FRT 2023,2023,FPT Digital Retail JSC,FRT.HM,0.0,658.0,FRT.HM,FPT Digital Retail JSC,Vietnam,Specialty Retail,2023.0,1.5854856,27.2247104,8.7323291,0.6190253,0.8687076,0.9895236,0.0452439,0.0340502,8873308.9435284,0.1992711,0.6433479,0.0824729,2.7531138,-13569518.7349547,11.0,40.0,1,47.4358974,7.1428571,5.0650239,3.6358204,2.0933909
Dương/11. FRT/FRT 2019,2019,FPT Digital Retail JSC,FRT.HM,1.325587014524729,658.0,FRT.HM,FPT Digital Retail JSC,Vietnam,Specialty Retail,2019.0,3.0229021,0.0,8.4541892,0.5608376,0.8050217,0.9977601,0.0783663,0.0688029,-4151026.0860559,0.2642219,0.513142,0.0010032,8.8196847,8797526.7256484,0.0,0.0,0,0.0,0.0,7.3592627,3.5366721,2.4232269
Dương/105. SHEF/SHEF 2024,2024,Sheela Foam Ltd,SHEF.NS,1.3743027831242849,315.0,SHEF.NS,Sheela Foam Ltd,India,Household Durables,2024.0,1.3977046,53.7342888,8.8060481,0.2674817,0.2737903,0.6154963,0.0274309,3.48e-05,-324166.1790521,0.0945805,0.0671686,0.2767681,12.4855981,11316559.391457,9.0,22.2222222,0,78.4608228,45.1423562,6.4842236,3.4308268,3.2018101
