Code,Company,Country,,,
GDPI.NS,Godawari Power and Ispat Ltd,India,,,
NAAL.NS,Nava Limited,India,,,
MIRZ.NS,Mirza International Ltd,India,,,
NATP.NS,Natco Pharma Ltd,India,,,
TCS.NS,Tata Consultancy Services Ltd,India,,,
TITN.NS,Titan Company Ltd,India,,,
TORP.NS,Torrent Pharmaceuticals Ltd,India,,,
NTPC.NS,NTPC Ltd,India,,,
PAFO.NS,Patanjali Foods Ltd,India,,,
NAFL.NS,Navin Fluorine International Ltd,India,,,
USBL.NS,Usha Martin Ltd,India,,,
WGSR.NS,Welspun Corp Ltd,India,,,
WCKH.NS,Wockhardt Ltd,India,,,
ZENT.NS,Zensar Technologies Ltd,India,,,
APSE.NS,Adani Ports and Special Economic Zone Ltd,India,,,
NSEN.NS,Nesco Ltd,India,,,
SUZL.NS,Suzlon Energy Ltd,India,,,
TACN.NS,Tata Consumer Products Ltd,India,,,
PLNG.NS,Petronet LNG Ltd,India,,,
PRIS.NS,Prism Johnson Ltd,India,,,
REXP.NS,Rajesh Exports Ltd,India,,,
SHCM.NS,Shree Cement Ltd,India,,,
SUN.NS,Sun Pharmaceutical Industries Ltd,India,,,
NOCI.NS,Nocil Ltd,India,,,
PHOE.NS,Phoenix Mills Ltd,India,,,
HDIL.NS,Housing Development and Infrastructure Ltd,India,,,
HONE.NS,Honeywell Automation India Ltd,India,,,
INGR.NS,Ingersoll-Rand (India) Ltd,India,,,
JKPA.NS,JK Paper Ltd,India,,,
JIST.NS,Jindal Stainless Ltd,India,,,
ONGC.NS,Oil and Natural Gas Corporation Ltd,India,,,
KRBL.NS,KRBL Ltd,India,,,
PROR.NS,Procter & Gamble Health Ltd,India,,,
SRES.NS,Shree Renuka Sugars Ltd,India,,,
PVRL.NS,PVR INOX Ltd,India,,,
PLYP.NS,Polyplex Corp Ltd,India,,,
TOPO.NS,Torrent Power Ltd,India,,,
PRFO.NS,Prime Focus Ltd,India,,,
VDAN.NS,Vedanta Ltd,India,,,
SIYR.NS,Siyaram Silk Mills Ltd,India,,,
SLIN.NS,Solar Industries India Ltd,India,,,
TTEX.NS,Tata Elxsi Ltd,India,,,
MALD.NS,Mahindra Lifespace Developers Ltd,India,,,
RSTC.NS,Rashtriya Chemicals and Fertilizers Ltd,India,,,
RPOL.NS,Reliance Power Ltd,India,,,
SCI.NS,shipping corporation of India Ltd,India,,,
TTKL.NS,TTK Prestige Ltd,India,,,
REDI.NS,Redington Ltd,India,,,
TTCH.NS,Tata Chemicals Ltd,India,,,
TATA.NS,Tata Communications Ltd,India,,,
TEML.NS,Tech Mahindra Ltd,India,,,
SKFB.NS,SKF India Ltd,India,,,
SGRC.NS,Sagar Cements Ltd,India,,,
SAIL.NS,Steel Authority of India Ltd,India,,,
SHOP.NS,Shoppers Stop Ltd,India,,,
VENK.NS,Venky's (India) Ltd,India,,,
TTML.NS,Tata Teleservices (Maharashtra) Ltd,India,,,
SRFL.NS,SRF Ltd,India,,,
STTE.NS,Sterlite Technologies Ltd,India,,,
