Index,Identifier,Company Name,Country of Exchange,GICS Industry Name,Year,FV,ESG,SIZE,LEV,lctat,lctlt,chlct,CH,CF,cheat,Inventory,Fixed,Growth,NI,BoardMeetings,Female,CEO,G_score,E_score,GDPgrowth,GDPpercapita,INF
6,ADEN.NS,Advanced Enzyme Technologies Ltd,India,Chemicals,2018,3.3790636,0.0000000,8.0690901,0.0402112,0.0802843,0.4923931,0.0000000,0.0288648,-5502457.3576178,0.1757689,0.0952295,0.2053007,-0.2005037,16753830.5868748,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,6.4538513,3.2936397,3.8842403
7,ADIA.NS,Aditya Birla Fashion and Retail Ltd,India,Specialty Retail,2024,0.5884447,70.1377975,9.2894282,0.3014982,0.2355083,0.3987594,0.0000000,0.0464593,36603861.9075483,0.1037815,0.1475038,0.2409267,11.3714654,-73045055.5880632,8.0000000,28.5714286,TRUE,59.0157332,88.3609913,6.4842236,3.4308268,3.2018101
7,ADIA.NS,Aditya Birla Fashion and Retail Ltd,India,Specialty Retail,2023,0.4226072,77.3859401,9.4302641,0.4210430,0.3853104,0.4694269,0.0000000,0.0205986,-28633473.3053389,0.0837645,0.2007048,0.2590608,-48.8679735,-108820635.8728250,7.0000000,25.0000000,TRUE,72.8359067,91.1424980,9.1907549,3.4031412,2.5919495
7,ADIA.NS,Aditya Birla Fashion and Retail Ltd,India,Specialty Retail,2022,0.5454636,74.7853846,9.3168418,0.3857022,0.4197519,0.5222014,0.0267296,0.0294280,69920886.0759494,0.0680491,0.2577124,0.2803927,40.9986099,-7238315.4819864,11.0000000,18.1818182,TRUE,58.9276653,90.9485559,7.6093650,3.3705960,5.8971419
7,ADIA.NS,Aditya Birla Fashion and Retail Ltd,India,Specialty Retail,2021,0.6448892,67.4141707,9.2134016,0.3305042,0.4665258,0.6008342,0.0117105,0.0040656,-16852126.5747404,0.0684174,0.2476045,0.2624982,49.3619879,-15593915.2637501,8.0000000,14.2857143,TRUE,48.0985018,81.4943582,9.6895925,3.3501731,8.3549077
7,ADIA.NS,Aditya Birla Fashion and Retail Ltd,India,Specialty Retail,2020,0.7597420,73.6998158,9.1470492,0.3508243,0.3997916,0.5385532,0.0296668,0.0121266,-2826202.8795275,0.0625026,0.1907548,0.2683707,-38.4773626,-100633058.5066380,8.0000000,14.2857143,TRUE,69.7193641,80.3162098,-5.7777247,3.2803604,4.8148579
7,ADIA.NS,Aditya Birla Fashion and Retail Ltd,India,Specialty Retail,2019,0.8317672,0.0000000,9.1127119,0.5411702,0.5847550,0.6565505,0.0292096,0.0102401,27824459.4002628,0.0379808,0.2569663,0.2963291,-0.5867305,-21905406.6610914,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,3.8714369,3.3099342,2.4055172
7,ADIA.NS,Aditya Birla Fashion and Retail Ltd,India,Specialty Retail,2018,1.1128714,0.0000000,8.9809476,0.2571880,0.6158914,0.7853834,0.0140245,0.0000000,-2221740.3873952,0.0093873,0.3095482,0.0994945,6.3877154,46432494.9407343,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,6.4538513,3.2936397,3.8842403
8,ADNA.NS,Adani Green Energy Ltd,India,Independent Power and Renewable Electricity Producers,2024,1.3430043,68.1435986,10.1151653,0.7185048,0.1516006,0.1701373,0.1226315,0.0012747,70801638.3850205,0.0505461,0.0013824,0.8465323,18.6166639,182211819.7776480,8.0000000,10.0000000,TRUE,38.2418334,82.8747081,6.4842236,3.4308268,3.2018101
8,ADNA.NS,Adani Green Energy Ltd,India,Independent Power and Renewable Electricity Producers,2023,1.7068814,58.2289489,10.0262241,0.7325442,0.3028530,0.3406942,0.0581040,0.0005647,72705458.9082184,0.0606410,0.0042694,0.7750119,16.6371243,116496700.6598680,6.0000000,22.2222222,TRUE,37.8878371,68.3401256,9.1907549,3.4031412,2.5919495
8,ADNA.NS,Adani Green Energy Ltd,India,Independent Power and Renewable Electricity Producers,2022,2.2021712,56.3714962,9.9137481,0.8049613,0.1253396,0.1405831,0.0374275,0.0101839,52945472.2492697,0.0412986,0.0018111,0.7949407,40.2384282,111246348.5881210,7.0000000,10.0000000,TRUE,37.2549489,68.3134290,7.6093650,3.3705960,5.8971419
8,ADNA.NS,Adani Green Energy Ltd,India,Independent Power and Renewable Electricity Producers,2021,2.3404913,58.0340517,9.8918298,0.8929302,0.2016665,0.2109879,0.0143312,0.0066929,50460202.3151088,0.0497541,0.0049183,0.8157926,58.3243066,64557438.9932202,5.0000000,11.1111111,TRUE,35.4133873,74.0202062,9.6895925,3.3501731,8.3549077
8,ADNA.NS,Adani Green Energy Ltd,India,Independent Power and Renewable Electricity Producers,2020,4.7053933,50.6576340,9.5940624,0.8429024,0.2063995,0.2235210,0.0193995,0.0024024,-61938553.6732434,0.0374552,0.0051878,0.7242088,26.2562641,21876751.8492692,5.0000000,14.2857143,TRUE,28.8997908,73.0932383,-5.7777247,3.2803604,4.8148579
8,ADNA.NS,Adani Green Energy Ltd,India,Independent Power and Renewable Electricity Producers,2019,7.5315947,0.0000000,9.3884256,0.8068423,0.1636576,0.1876591,0.2101870,0.0001907,50872154.3015677,0.0543659,0.0106345,0.7466151,13.7259838,-2257271.0498719,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,3.8714369,3.3099342,2.4055172
8,ADNA.NS,Adani Green Energy Ltd,India,Independent Power and Renewable Electricity Producers,2018,8.3862165,0.0000000,9.3260940,0.7293178,0.1841318,0.2121082,0.0000000,0.0246600,502746.4585140,0.0410855,0.0092701,0.7591112,30.8471974,-68154408.7886672,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,6.4538513,3.2936397,3.8842403
9,ADRG.NS,Aarti Drugs Ltd,India,Pharmaceuticals,2024,1.6251645,27.2778520,8.4790112,0.2388918,0.3250773,0.6941892,0.0000000,0.0029363,-253949.6781744,0.0090671,0.1836850,0.4618555,-7.9178784,19672322.9959040,7.0000000,12.5000000,TRUE,13.8277037,27.8829439,6.4842236,3.4308268,3.2018101
9,ADRG.NS,Aarti Drugs Ltd,India,Pharmaceuticals,2023,1.7172212,29.9575078,8.4651219,0.2319889,0.3270665,0.6912896,0.0000000,0.0027721,-91265.7468506,0.0080673,0.1997618,0.4255689,-8.2317209,20586766.6466707,6.0000000,15.3846154,TRUE,11.7003330,32.5683342,9.1907549,3.4031412,2.5919495
9,ADRG.NS,Aarti Drugs Ltd,India,Pharmaceuticals,2022,1.7130529,21.9722660,8.4694058,0.2514723,0.3921194,0.7725836,0.0000000,0.0030988,-1717210.3213243,0.0082478,0.2132202,0.3560931,0.8241578,20247955.2093476,6.0000000,7.1428571,TRUE,5.3790196,15.8028737,7.6093650,3.3705960,5.8971419
9,ADRG.NS,Aarti Drugs Ltd,India,Pharmaceuticals,2021,1.6933932,0.0000000,8.4637411,0.2458449,0.4257590,0.8023731,0.0216240,0.0000000,1686279.8314656,0.0186866,0.2382030,0.3471607,11.2877980,27008171.1272783,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,9.6895925,3.3501731,8.3549077
9,ADRG.NS,Aarti Drugs Ltd,India,Pharmaceuticals,2020,2.0767766,0.0000000,8.3828569,0.1986156,0.3371185,0.6982918,0.0099136,0.0000000,279161.0265666,0.0140714,0.2349941,0.3875398,22.8887110,38338775.1753558,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,-5.7777247,3.2803604,4.8148579
9,ADRG.NS,Aarti Drugs Ltd,India,Pharmaceuticals,2019,2.4590109,0.0000000,8.3207090,0.2465206,0.3953017,0.6744433,0.0062096,0.0000000,282452.5772238,0.0118422,0.2064095,0.4151766,6.2546229,18769795.4415728,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,3.8714369,3.3099342,2.4055172
9,ADRG.NS,Aarti Drugs Ltd,India,Pharmaceuticals,2018,2.5039844,0.0000000,8.3230282,0.3484823,0.4060371,0.6479768,0.0066110,0.0000000,195244.2902573,0.0096127,0.1694364,0.4498156,16.3586229,12973605.0881758,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,6.4538513,3.2936397,3.8842403
10,AEGS.NS,Aegis Logistics Ltd,India,"Oil, Gas & Consumable Fuels",2024,2.1306330,43.8739576,9.1187742,0.4100543,0.1194708,0.2032717,0.0314093,0.0000000,44294324.1661790,0.3398467,0.0174820,0.5677860,-6.3633162,92149198.3616150,5.0000000,11.1111111,FALSE,62.8102658,28.7197870,6.4842236,3.4308268,3.2018101
10,AEGS.NS,Aegis Logistics Ltd,India,"Oil, Gas & Consumable Fuels",2023,3.0006008,39.8353014,8.9861220,0.3301721,0.1292217,0.2496556,0.0347770,0.0000000,23969562.0875825,0.2103951,0.0098478,0.5970987,-19.4951431,80648374.3251350,6.0000000,11.1111111,FALSE,55.5459494,29.2995719,9.1907549,3.4031412,2.5919495
10,AEGS.NS,Aegis Logistics Ltd,India,"Oil, Gas & Consumable Fuels",2022,3.3889449,28.2180548,8.9404159,0.2685996,0.1581730,0.3120757,0.0448719,0.0000000,89862658.2278481,0.3212119,0.0222690,0.5663608,72.1024159,62158726.8743914,8.0000000,11.1111111,TRUE,44.0124452,26.1989429,7.6093650,3.3705960,5.8971419
10,AEGS.NS,Aegis Logistics Ltd,India,"Oil, Gas & Consumable Fuels",2021,5.6086972,0.0000000,8.7255012,0.2070588,0.2892777,0.6293268,0.0429545,0.0000000,-26696029.3222523,0.0296747,0.0281816,0.6510678,16.1016285,50716034.2233477,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,9.6895925,3.3501731,8.3549077
10,AEGS.NS,Aegis Logistics Ltd,India,"Oil, Gas & Consumable Fuels",2020,7.0596646,0.0000000,8.6247169,0.2382121,0.1640440,0.4413182,0.5870699,0.0000000,10166249.6410845,0.1046804,0.0219842,0.7126348,-44.8876448,34076281.4991044,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,-5.7777247,3.2803604,4.8148579
10,AEGS.NS,Aegis Logistics Ltd,India,"Oil, Gas & Consumable Fuels",2019,7.2548845,0.0000000,8.5885019,0.1950319,0.2617185,0.6037505,0.2910443,0.0000000,-17380868.9418980,0.1010216,0.0177241,0.6562485,17.4635107,17783959.2210585,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,3.8714369,3.3099342,2.4055172
10,AEGS.NS,Aegis Logistics Ltd,India,"Oil, Gas & Consumable Fuels",2018,7.9489073,0.0000000,8.5453897,0.0983051,0.3248057,0.7604077,0.4480072,0.0000000,37364469.4998554,0.1715662,0.0182621,0.5958635,10.3209866,36442049.7253541,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,6.4538513,3.2936397,3.8842403
11,AFFL.NS,Affle 3i Ltd,India,Media,2024,7.1652261,57.1097076,8.6272088,0.0226671,0.1735718,0.9308824,0.0000000,0.2892456,28365125.8045641,0.4186957,0.0000000,0.0022740,19.9574418,44689174.9561147,8.0000000,33.3333333,TRUE,78.3668133,28.9896260,6.4842236,3.4308268,3.2018101
11,AFFL.NS,Affle 3i Ltd,India,Media,2023,7.8818620,58.3872677,8.5953710,0.0556283,0.1958144,0.8189357,0.3119292,0.1841499,56759208.1583683,0.6062058,0.0000000,0.0030344,26.6788974,35664427.1145771,7.0000000,40.0000000,FALSE,76.5911534,30.0492581,9.1907549,3.4031412,2.5919495
11,AFFL.NS,Affle 3i Ltd,India,Media,2022,12.8029925,57.3460461,8.3886849,0.0525322,0.2005818,0.7391467,0.3982961,0.0852329,1910540.4089581,0.3265204,0.0000000,0.0027493,22.4717766,29876582.2784810,8.0000000,33.3333333,TRUE,77.9505476,15.9959732,7.6093650,3.3705960,5.8971419
