folder_path,folder_name,company_name,company_code,similarity_score,status
Dương/196.LAXR.NS,196.LAXR.NS,Laxmi Organic Industries Ltd,LAXR.NS,1.0,matched
Giang/NAFL.NS,NAFL.NS,Navin Fluorine International Ltd,NAFL.NS,1.0,matched
Vân/Dagang NeXchange Bhd,Dagang NeXchange Bhd,Dagang NeXchange Bhd,DNEX.KL,1.0000000000000002,matched
Thái/FVCO.KL,FVCO.KL,Favelle Favco Bhd,FVCO.KL,1.0,matched
Thái/ANCM.KL,ANCM.KL,Ancom Nylex Bhd,ANCM.KL,1.0,matched
Thái/KONE.KL,KONE.KL,K-One Technology Bhd,KONE.KL,1.0,matched
Vân/Telkom SA SOC Ltd,Telkom SA SOC Ltd,Saigon Beer Alcohol Beverage Corp,SAB.HM,1.0,matched
Vân/United Plantations Bhd,United Plantations Bhd,United Plantations Bhd,UTPS.KL,1.0000000000000002,matched
Dương/193.BROF.NS,193.BROF.NS,Brookfield India Real Estate Trust,BROF.NS,1.0,matched
Giang/GSFC.NS,GSFC.NS,Gujarat State Fertilizers & Chemicals Ltd,GSFC.NS,1.0,matched
Dương/166.INMR.NS,166.INMR.NS,Indiamart Intermesh Ltd,INMR.NS,1.0,matched
Dương/72. CAPL,72. CAPL,Caplin Point Laboratories Ltd,CAPL.NS,1.0,matched
Giang/NATP.NS,NATP.NS,Natco Pharma Ltd,NATP.NS,1.0,matched
Vân/Spur Corporation,Spur Corporation,Spur Corporation Ltd,SURJ.J,1.0000000000000002,matched
Dương/MEGI.NS,MEGI.NS,Meghmani Organics Ltd,MEGI.NS,1.0,matched
Vân/Adcock Ingram Holdings Ltd,Adcock Ingram Holdings Ltd,Adcock Ingram Holdings Ltd,AIPJ.J,1.0000000000000002,matched
Dương/88. DIBL,88. DIBL,Dilip Buildcon Ltd,DIBL.NS,1.0,matched
Dương/70. SHCR,70. SHCR,Sharda Cropchem Ltd,SHCR.NS,1.0,matched
Dương/37. JINW,37. JINW,Jindal Worldwide Ltd,JINW.NS,1.0,matched
Dương/124. PSPP,124. PSPP,PSP Projects Ltd,PSPP.NS,1.0,matched
Dương/212 + NUVO.NS,212 + NUVO.NS,Nuvoco Vistas Corporation Ltd,NUVO.NS,1.0,matched
