Rank,Company Name,HQ,Industry Group,Mkt. Cap (M),ESG Score
216,mBank SA,PL,Banking Services,"$11,610",67.09
217,Sri Trang Gloves (Thailand) PCL,TH,Healthcare Equipment & Supplies,$615,67.05
217,Light SA,BR,Electric Utilities & IPPs,$455,67.05
219,Grupo Energia Bogota SA ESP,CO,Natural Gas Utilities,"$6,781",67.04
220,Sun International Ltd,ZA,Hotels & Entertainment Services,$683,67.01
221,Indian Oil Corporation Ltd,IN,Oil & Gas,"$22,964",66.99
222,Attijariwafa Bank SA,MA,Banking Services,"$18,224",66.91
223,Home Product Center PCL,TH,Specialty Retailers,"$2,883",66.89
224,ICICI Bank Ltd,IN,Banking Services,"$115,758",66.85
225,Kasikornbank PCL,TH,Banking Services,"$12,362",66.84
226,Bank of the Philippine Islands,PH,Banking Services,"$10,960",66.77
227,Alsea SAB de CV,MX,Hotels & Entertainment Services,"$2,422",66.74
228,Banco BBVA Peru SA,PE,Banking Services,"$3,897",66.64
229,Tata Steel Ltd,IN,Metals & Mining,"$22,830",66.63
230,Press Metal Aluminium Holdings Bhd,MY,Metals & Mining,"$10,933",66.62
231,Turkiye Petrol Rafinerileri AS,TR,Oil & Gas,"$7,730",66.36
232,SPAR Group Ltd,ZA,Food & Drug Retailing,"$1,190",66.32
233,M Dias Branco SA Industria e Comercio de Alimentos,BR,Food & Tobacco,"$1,829",66.24
233,Wha Utilities and Power PCL,TH,Water & Related Utilities,$409,66.24
235,IOI Properties Group Bhd,MY,Real Estate Operations,"$2,852",66.23
235,Perusahaan Gas Negara Tbk PT,ID,Natural Gas Utilities,"$2,502",66.23
237,Westports Holdings Bhd,MY,Transport Infrastructure,"$4,662",66.20
238,Banco de Credito del Peru,PE,Banking Services,"$17,039",66.18
239,Dogus Otomotiv Servis ve Ticaret AS,TR,Specialty Retailers,"$1,046",66.12
240,Aksa Akrilik Kimya Sanayii AS,TR,Textiles & Apparel,$954,65.93
241,Krung Thai Bank PCL,TH,Banking Services,"$10,528",65.76
242,UltraTech Cement Ltd,IN,Construction Materials,"$41,648",65.73
243,Mphasis Ltd,IN,Software & IT Services,"$5,854",65.69
244,Orygen Peru SAA,PE,Electric Utilities & IPPs,"$2,267",65.60
245,Telefonica Brasil SA,BR,Telecommunications Services,"$19,777",65.56
245,Bank Tabungan Negara (Persero) Tbk PT,ID,Banking Services,"$1,139",65.56
247,Clicks Group Ltd,ZA,Food & Drug Retailing,"$5,023",65.54
248,Absa Group Ltd,ZA,Banking Services,"$9,593",65.52
249,Ultrapar Participacoes SA,BR,Oil & Gas,"$3,504",65.45
250,Ayala Corp,PH,Real Estate Operations,"$6,813",65.42
251,Asset World Corp PCL,TH,Hotels & Entertainment Services,"$2,214",65.38
252,SCG Packaging PCL,TH,Containers & Packaging,"$2,372",65.35
253,Tech Mahindra Ltd,IN,Software & IT Services,"$16,841",65.28
254,United Tractors Tbk PT,ID,Coal,"$5,499",65.17
255,Tecnoglass Inc,CO,Homebuilding & Construction Supplies,"$3,903",65.15
256,Bursa Malaysia Bhd,MY,Investment Banking & Investment Services,"$1,478",65.02
256,Standard Bank Group Ltd,ZA,Banking Services,"$22,957",65.02
258,CIMB Thai Bank PCL,TH,Banking Services,$398,65.00
259,Styrenix Performance Materials Ltd,IN,Chemicals,$538,64.95
260,Otokar Otomotiv ve Savunma Sanayi AS,TR,"Machinery, Tools, Heavy Vehicles, Trains & Ships","$1,658",64.89
261,Bukit Asam Tbk PT,ID,Coal,"$1,734",64.85
262,PTT Exploration and Production PCL,TH,Oil & Gas,"$14,463",64.83
263,JSE Ltd,ZA,Investment Banking & Investment Services,$654,64.76
263,Mahindra and Mahindra Financial Services Ltd,IN,Banking Services,"$4,106",64.76
265,Yes Bank Ltd,IN,Banking Services,"$6,744",64.75
266,Glenmark Pharmaceuticals Ltd,IN,Pharmaceuticals,"$6,538",64.72
267,Akenerji Elektrik Uretim AS,TR,Electric Utilities & IPPs,$210,64.56
268,KPJ Healthcare Bhd,MY,Healthcare Providers & Services,"$3,105",64.55
268,Thai Beverage PCL,TH,Beverages,"$9,205",64.55
270,Cimsa Cimento Sanayi ve Ticaret AS,TR,Construction Materials,"$1,130",64.43
271,Klabin SA,BR,Containers & Packaging,"$4,166",64.40
272,Motor Oil Hellas Corinth Refineries SA,GR,Oil & Gas,"$3,481",64.34
273,Empresa Siderurgica del Peru SAA,PE,Metals & Mining,$360,64.33
274,Motiva Infraestrutura de Mobilidade SA,BR,Transport Infrastructure,"$4,898",64.31
275,CPFL Energia SA,BR,Electric Utilities & IPPs,"$8,360",64.28
276,Marico Ltd,IN,Food & Tobacco,"$10,511",64.12
277,MLP Saglik Hizmetleri AS,TR,Healthcare Providers & Services,"$1,736",64.03
277,Telekom Malaysia Bhd,MY,Telecommunications Services,"$6,563",64.03
279,Kimberly-Clark de Mexico SAB de CV,MX,Personal & Household Products & Services,"$5,834",63.98
280,Adani Ports and Special Economic Zone Ltd,IN,Transport Infrastructure,"$32,545",63.92
280,MRV Engenharia e Participacoes SA,BR,Real Estate Operations,$721,63.92
282,Bank Handlowy w Warszawie SA,PL,Banking Services,"$4,025",63.74
283,Motus Holdings Ltd,ZA,Specialty Retailers,$962,63.72
284,Sibanye Stillwater Ltd,ZA,Metals & Mining,"$6,168",63.70
285,Bangkok Bank PCL,TH,Banking Services,"$9,135",63.61
286,Hindustan Unilever Ltd,IN,Personal & Household Products & Services,"$66,934",63.56
287,Suzlon Energy Ltd,IN,Renewable Energy,"$9,449",63.54
288,Hulamin Ltd,ZA,Metals & Mining,$52,63.53
289,TV Azteca SAB de CV,MX,Media & Publishing,$80,63.42
290,Credicorp Ltd,PE,Banking Services,"$19,792",63.36
291,CelcomDigi Bhd,MY,Telecommunications Services,"$10,655",63.35
292,Exxaro Resources Ltd,ZA,Coal,"$3,256",63.31
293,Bid Corporation Ltd,ZA,Food & Drug Retailing,"$8,876",63.30
294,Hellenic Exchanges Athens Stock Exchange SA,GR,Investment Banking & Investment Services,$492,63.27
295,Netcare Ltd,ZA,Healthcare Providers & Services,"$1,124",63.22
296,Global Power Synergy PCL,TH,Electric Utilities & IPPs,"$3,156",63.20
297,XLSMART Telecom Sejahtera Tbk PT,ID,Telecommunications Services,"$3,253",63.12
298,Santam Ltd,ZA,Insurance,"$2,838",63.10
298,Nexa Resources Peru SAA,PE,Metals & Mining,$461,63.10
300,Advtech Ltd,ZA,Miscellaneous Educational Service Providers,"$1,002",63.05
301,Usinas Siderurgicas de Minas Gerais SA USIMINAS,BR,Metals & Mining,"$1,020",63.03
302,Akis Gayrimenkul Yatirim Ortakligi AS,TR,Residential & Commercial REITs,$422,62.96
303,Fraser & Neave Holdings Bhd,MY,Beverages,"$2,426",62.90
304,Grupo Mexico SAB de CV,MX,Metals & Mining,"$53,408",62.80
305,Industrias Penoles SAB de CV,MX,Metals & Mining,"$12,098",62.63
305,Hindalco Industries Ltd,IN,Metals & Mining,"$17,892",62.63
307,Northam Platinum Holdings Ltd,ZA,Metals & Mining,"$4,976",62.62
308,Turkcell Iletisim Hizmetleri AS,TR,Telecommunications Services,"$5,283",62.57
309,Pegasus Hava Tasimaciligi AS,TR,Passenger Transportation Services,"$3,157",62.42
310,Dabur India Ltd,IN,Personal & Household Products & Services,"$10,196",62.41
311,BGrimm Power PCL,TH,Electric Utilities & IPPs,$934,62.39
312,BDO Unibank Inc,PH,Banking Services,"$13,480",62.36
313,Grupo Cibest SA,CO,Banking Services,"$7,224",62.23
314,Bank Polska Kasa Opieki SA,PL,Banking Services,"$15,717",62.17
315,Indocement Tunggal Prakarsa Tbk PT,ID,Construction Materials,"$1,393",62.11
316,Bank Danamon Indonesia Tbk PT,ID,Banking Services,"$1,516",62.10
317,Controladora Vuela Compania de Aviacion SAB de CV,MX,Passenger Transportation Services,$692,61.97
317,VGI PCL,TH,Media & Publishing,"$1,284",61.97
319,National Bank of Bahrain BSC,BH,Banking Services,"$3,097",61.94
319,Localiza Rent a Car SA,BR,Passenger Transportation Services,"$6,979",61.94
321,Ferreycorp SAA,PE,"Machinery, Tools, Heavy Vehicles, Trains & Ships",$901,61.87
322,Albaraka Turk Katilim Bankasi AS,TR,Banking Services,$520,61.86
323,LPP SA,PL,Specialty Retailers,"$8,410",61.83
324,Genting Malaysia Bhd,MY,Hotels & Entertainment Services,"$2,809",61.75
325,Divi's Laboratories Ltd,IN,Pharmaceuticals,"$18,490",61.72
326,Info Edge (India) Ltd,IN,Software & IT Services,"$9,800",61.46
327,Santos Brasil Participacoes SA,BR,Transport Infrastructure,"$2,259",61.37
328,Metair Investments Ltd,ZA,Automobiles & Auto Parts,$71,61.28
329,Growthpoint Properties Ltd,ZA,Residential & Commercial REITs,"$2,876",61.16
330,Grupo BVL SAA,PE,Investment Banking & Investment Services,$125,61.11
331,Powszechna Kasa Oszczednosci Bank Polski SA,PL,Banking Services,"$29,220",61.09
332,Capital A Berhad,MY,Passenger Transportation Services,$847,61.07
332,Pluz Energia Peru SAA,PE,Electric Utilities & IPPs,"$1,054",61.07
334,RS PCL,TH,Media & Publishing,$20,61.06
335,Voltas Ltd,IN,"Machinery, Tools, Heavy Vehicles, Trains & Ships","$4,821",61.04
336,Bharat Petroleum Corporation Ltd,IN,Oil & Gas,"$15,975",60.95
337,Arab Bank PLC,JO,Banking Services,"$5,313",60.83
338,Redefine Properties Ltd,ZA,Residential & Commercial REITs,"$2,007",60.74
339,Hindustan Petroleum Corp Ltd,IN,Oil & Gas,"$9,987",60.73
340,Adcock Ingram Holdings Ltd,ZA,Pharmaceuticals,$638,60.72
341,AECI Ltd,ZA,Chemicals,$662,60.70
342,Embraer SA,BR,Aerospace & Defense,"$10,864",60.63
342,Alamtri Resources Indonesia Tbk PT,ID,Coal,"$3,458",60.63
344,iOCO Ltd,ZA,Software & IT Services,$156,60.62
345,Momentum Group Ltd,ZA,Insurance,"$2,769",60.60
346,Polisan Holding AS,TR,Chemicals,$408,60.59
347,Spur Corporation Ltd,ZA,Hotels & Entertainment Services,$171,60.57
348,Kotak Mahindra Bank Ltd,IN,Banking Services,"$45,128",60.54
349,Sansiri PCL,TH,Real Estate Operations,$823,60.40
350,Chularat Hospital PCL,TH,Healthcare Providers & Services,$621,60.36
351,GMR Airports Ltd,IN,Transport Infrastructure,"$10,687",60.33
352,Raia Drogasil S/A,BR,Food & Drug Retailing,"$5,575",60.27
352,Hero MotoCorp Ltd,IN,Automobiles & Auto Parts,"$10,893",60.27
354,Mavi Giyim Sanayi ve Ticaret AS,TR,Specialty Retailers,$797,60.22
355,Pick N Pay Stores Ltd,ZA,Food & Drug Retailing,"$1,154",60.16
356,Fresnillo PLC,MX,Metals & Mining,"$17,016",60.12
357,Arca Continental SAB de CV,MX,Beverages,"$18,044",59.98
358,PTG Energy PCL,TH,Oil & Gas,$363,59.97
359,Coronation Fund Managers Ltd,ZA,Investment Banking & Investment Services,$958,59.92
359,Banco del Bajio SA Institucion de Banca Multiple,MX,Banking Services,"$2,733",59.92
361,Thaicom PCL,TH,Telecommunications Services,$337,59.87
362,Central Retail Corporation PCL,TH,Diversified Retail,"$3,966",59.86
363,Bosch Ltd,IN,Automobiles & Auto Parts,"$13,018",59.85
364,Alicorp SAA,PE,Consumer Goods Conglomerates,"$1,834",59.79
365,Airports of Thailand PCL,TH,Transport Infrastructure,"$17,642",59.65
366,KGHM Polska Miedz SA,PL,Metals & Mining,"$7,509",59.62
